ranking_2025,razon_social,región,departamento_domicilio,ciudad_domicilio,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,crecimiento_ingresos_pct,margen_utilidad_pct,endeudamiento_pct,roa_pct,roe_pct
8353,SERVIMED SAS,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,LA-MESA-CUNDINAMARCA,SERVICIOS,27768369,4108254,30133949,10743600,19390349,10.68685566809978,14.79472561027981,35.65281138559038,13.633307735405008,21.1871070500072
8354,EL CORRAL AGRO S.A.S ZOMAC,CENTRO,TOLIMA,PLANADAS-TOLIMA,COMERCIO,27766749,1024701,5049472,1916584,3132888,48.05307671065714,3.6903888172144317,37.95612689802022,20.293230658571826,32.70787209756621
8355,AVICOLA SINAIN SAS,CENTRO - ORIENTE,SANTANDER CO,BUCARAMANGA-SANTANDER,AGROPECUARIO,27762785,588645,35768717,21234180,14534537,-4.53016030205883,2.1202663925827325,59.36522688247386,1.6456978314318627,4.049974209704788
8356,PAVIMENTOS ABURRA SAS,ANTIOQUIA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,27761026,2640441,19735994,13742240,5993754,24.766222537501964,9.511323536817407,69.63034139552333,13.378809296354671,44.05320939097601
8357,TDCX CO PET. S.A.S.,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,SERVICIOS,27741791,-1666019,22100993,36893637,-14792644,141.45296035814198,-6.005448602795688,166.93203332538044,-7.538208803559189,11.262482893524647
8358,UNIVERSAL AVICOLA SAS,PACÍFICO,VALLE DEL CAUCA,YUMBO-VALLE,COMERCIO,27741334,937158,11635341,9573562,2061779,28.677894502281,3.3782009185282873,82.28002943789959,8.054409406651683,45.453853201531295
8359,INSUMMA BUSINESS GROUP FARMAVICOLA S.A,CENTRO - ORIENTE,SANTANDER CO,GIRON-SANTANDER,COMERCIO,27732872,970862,21048128,13193369,7854759,5.621787781072251,3.5007625607618285,62.68191166454328,4.6125812233753045,12.360175531801804
8360,FERRICAR S.A.S,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,FUNZA,SERVICIOS,27727757,5841720,33306282,20996742,12309540,16.654501784464635,21.06813039367014,63.04138660688695,17.539393919741627,47.45685054031264
8361,INVERSIONES COLBUFALOS SAS,ANTIOQUIA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,AGROPECUARIO,27721083,6079978,47622905,23859640,23763265,51.64378559653662,21.9326856746542,50.10118555346425,12.766919615676532,25.585617127949376
8362,TELEVIGILANCIA LTDA PROTECCION Y SEGURIDAD,CENTRO,HUILA,41001 - NEIVA-HUILA,SERVICIOS,27712687,899318,12311424,5392855,6918569,-15.267634295345331,3.245149053933312,43.803665603588996,7.304743951633864,12.998612863440403
8363,SERVICIO DE INGENIERIA Y AMBIENTE S.A.S,CARIBE,ATLÁNTICO,BARRANQUILLA-ATLANTICO,SERVICIOS,27712467,480402,32999153,9348493,23650660,-21.510763751238517,1.733523038566,28.32949379034062,1.4558010019226857,2.031241411444755
8364,PRODUCCIONES WILLVIN S A,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,SERVICIOS,27703624,352587,57465457,31512957,25952500,1.1156155814183009,1.2727107471571228,54.83808646992922,0.6135633794750819,1.358585878046431
8365,COMERCIAL DE CARNES J&AMP;J SAS EN REORGANIZACION,ANTIOQUIA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,27702150,22799,12335182,9315982,3019200,-19.75539519080715,0.08230047126306081,75.5236688035896,0.18482905238041886,0.7551338102808691
8366,PROCALCULO PROSIS S A,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,COMERCIO,27701151,52846,28203291,22135895,6067396,-33.72905650078503,0.19077185637520983,78.4869219694964,0.18737529602485045,0.870983202678711
